brancher concentration,motor concentration,linker concentration,avalanche time,time,mean displacement,rg,shape,density,clique number,average clustering,mean closeness,mean betweenness,assortativity,avalanche,prediction
0.02,0.5,0.01,680,670,23.729206926535603,0.330386615600945,-0.002032224638718,0.001554260392834,5,0.17557641633728602,0.0007105760423489999,9.819808158140658e-07,0.812910425956881,1,1
0.02,0.5,0.01,1320,1310,25.850088498443103,0.33872204569205105,-0.002553830086517,0.001575670602219,7,0.198915408915409,0.0007264627673719999,8.05468987544389e-07,0.839547083573104,1,1
0.02,0.5,0.01,300,290,25.5344264148206,0.33337973276674,-0.012880325269917,0.001525192454818,4,0.150545094152626,0.0006858354777389999,1.1257977335957702e-06,0.786462452827674,1,1
0.02,0.5,0.01,670,660,32.175382869786894,0.336223769108259,0.006086758210350001,0.0015224721741860002,4,0.158047405934029,0.000676584352542,1.24522833998481e-06,0.8043987635705491,1,1
0.02,0.5,0.01,830,820,38.808517964408004,0.32248177056807803,-0.0018545384326769999,0.001576160451774,5,0.19535303776683102,0.000771334155973,1.50124474738526e-06,0.80133242902879,1,1
0.02,0.5,0.01,390,380,30.220727536170898,0.339767586583957,-0.0071804311893119985,0.0015233207711670001,5,0.164529914529915,0.0006535872835,6.31574524501445e-07,0.818873436621463,1,1
0.02,0.5,0.01,200,190,37.6702201874887,0.360019498127157,-0.003065334564214,0.0015117357146339997,4,0.166238683127572,0.000655490928867,8.06371098733568e-07,0.784367995331236,1,1
0.02,0.5,0.01,370,360,23.188665305703697,0.327780338628538,-0.001415825703697,0.001529349242603,5,0.163916337285902,0.000671402649607,6.31704756052591e-07,0.809547255132949,1,1
0.02,0.5,0.01,250,240,36.1143148980101,0.365710630145114,-0.001158774975059,0.0015175242633179997,4,0.144322890767446,0.000655164016819,9.97217078441156e-07,0.7980511573090259,1,1
0.02,0.5,0.01,700,690,28.051953993737303,0.337750682638228,-0.0032152179435740004,0.001553911427538,7,0.171901579023241,0.0007103494617500001,1.04038289075363e-06,0.8420498977286999,1,1
0.02,0.5,0.01,120,110,51.373159656679604,0.413465723660898,0.006957330865311,0.0015236736980739998,5,0.140892358913038,0.000676748041236,8.021110731449191e-07,0.8171525414687951,1,1
0.02,0.5,0.01,290,280,21.0752785565954,0.337673070320964,-0.001155226004816,0.0015054372246370003,5,0.141028175976273,0.000638403456268,6.5925457865121e-07,0.8090585109056709,1,1
0.02,0.5,0.01,110,100,26.9359096477524,0.392604127962728,-0.0033817860496179997,0.0014683192570659998,4,0.128183613030602,0.000577575629991,5.87685323797031e-07,0.8121303996219,1,1
0.02,0.5,0.01,190,180,22.147167633034,0.35531280086782,0.0005847509204459999,0.0015143267670010001,6,0.146223479490806,0.0006459561240330001,7.87346961074747e-07,0.817107836754323,1,1
0.02,0.5,0.01,270,260,25.9643686200491,0.342698366767039,-0.0025958032107989996,0.001523050589559,5,0.173655007725804,0.000659700906007,7.1811380389173e-07,0.792609149401979,1,1
0.02,0.5,0.01,290,280,39.044240965294,0.34017319777471006,0.008214286022193,0.001522208984911,4,0.15993065874195098,0.0006577991261859999,5.93335478681588e-07,0.803944106337942,1,1
0.02,0.5,0.01,1000,990,28.925291804801102,0.33033763735282107,0.028018127463906,0.001543864269664,4,0.176063051583369,0.0006774176463990001,5.325542428895351e-07,0.80368311491837,1,1
0.02,0.5,0.01,100,90,31.4759578310223,0.37455471841740995,0.004491156517875,0.0014951915775450002,5,0.12731321128154402,0.000633508851619,7.85450269703895e-07,0.797824775081909,1,1
0.02,0.5,0.01,410,400,40.3616206840911,0.322957643641801,0.002880535620225,0.0015185307057629996,4,0.162026982560053,0.0006478837761880001,5.855176320289271e-07,0.797302413159509,1,1
